USB2G43178_1:101,,Capture_3:203,,Capture_4:204,,Capture_5:205,,Capture_6:206,
648,"9,23784",648,"86,20252",648,"2609,90676",648,"17,51231",648,"15,91258"
649,"18,78421",649,"88,20826",649,"2584,23087",649,"18,82062",649,"12,32997"
650,"10,87738",650,"84,46955",650,"2542,18609",650,"19,69181",650,"15,40923"
651,"13,67919",651,"75,89592",651,"2445,56753",651,"21,79635",651,"18,05408"
652,"10,63344",652,"73,68944",652,"2404,69861",652,"20,68761",652,"19,97422"
653,"17,94184",653,"77,23174",653,"2317,73969",653,"22,8144",653,"17,8988"
654,"14,33097",654,"71,23625",654,"2224,30511",654,"23,43319",654,"20,82113"
655,"11,29913",655,"67,9151",655,"2164,97065",655,"15,56755",655,"17,42254"
656,"8,14224",656,"63,01508",656,"2086,02725",656,"11,08305",656,"19,39878"
657,"11,61169",657,"67,20961",657,"1990,91086",657,"15,50583",657,"16,76002"
658,"13,81994",658,"66,66019",658,"1907,60228",658,"18,31079",658,"15,31035"
659,"9,26946",659,"55,27462",659,"1851,14948",659,"17,27343",659,"18,64711"
660,"11,54269",660,"60,48202",660,"1744,68759",660,"23,73625",660,"15,89068"
661,"19,87687",661,"55,68055",661,"1661,41385",661,"18,50932",661,"15,9614"
662,"11,43137",662,"51,39605",662,"1582,84127",662,"20,15157",662,"18,90767"
663,"18,59053",663,"49,92456",663,"1489,87395",663,"23,01654",663,"17,92346"
664,"12,58403",664,"47,36226",664,"1411,80836",664,"18,09169",664,"19,6641"
665,"17,82144",665,"41,37842",665,"1327,11255",665,"16,55307",665,"14,4181"
666,"13,91822",666,"44,61208",666,"1280,6574",666,"14,12465",666,"19,1869"
667,"8,02059",667,"38,16328",667,"1228,92628",667,"17,79171",667,"14,26725"
668,"10,83569",668,"36,77435",668,"1136,12257",668,"17,202",668,"16,24641"
669,"13,0059",669,"45,50704",669,"1075,35522",669,"16,15922",669,"24,39554"
670,"10,92444",670,"37,1205",670,"993,52811",670,"18,39005",670,"17,16034"
671,"15,96749",671,"30,31242",671,"945,95247",671,"16,57286",671,"14,88947"
672,"7,00145",672,"27,92566",672,"903,73903",672,"13,61975",672,"21,1753"
673,"21,72367",673,"28,25239",673,"842,20322",673,"19,65465",673,"23,78466"
674,"11,20721",674,"35,50535",674,"777,37494",674,"21,57528",674,"16,89519"
675,"16,42679",675,"32,18007",675,"729,3556",675,"10,83537",675,"18,40244"
676,"5,35278",676,"27,71266",676,"688,88134",676,"15,60939",676,"16,05252"
